,index,x,y,z,contour,nearest neighbor
0,0,244.0,1063.0,106.0,0,35.601092525370674
1,1,138.0,1046.33,96.0,0,48.48352801725548
2,2,139.333,1003.67,73.0,0,31.485100746225974
3,3,149.333,976.333,85.0,0,31.485100746225974
4,4,218.667,958.333,81.0,0,39.10791338079801
5,5,242.0,970.333,110.0,0,37.8021163428716
6,6,254.0,988.333,79.0,0,37.8021163428716
7,7,260.667,1032.33,99.0,0,35.601092525370674
8,8,174.667,959.667,112.0,0,40.60255056027882
9,9,144.667,999.0,123.0,0,44.492296468040415
10,10,238.667,1063.0,69.0,0,37.38236066649617
11,20,202.667,858.333,73.0,1,35.39618309931173
12,21,318.667,853.0,68.0,1,41.826031236539734
13,22,204.667,829.0,93.0,1,31.078938929764007
14,23,261.333,894.333,70.0,1,29.25747767665559
15,24,226.0,883.0,63.0,1,35.39618309931173
16,25,287.333,882.333,64.0,1,29.25747767665559
17,26,201.333,818.333,64.0,1,31.078938929764007
18,27,218.0,789.0,63.0,1,33.75224108114894
19,28,264.667,774.333,70.0,1,49.41588588703028
20,29,322.667,811.667,63.0,1,41.826031236539734
21,38,462.333,594.667,95.0,2,38.66186177617416
22,39,479.667,555.333,93.0,2,43.030583449449104
23,40,555.0,556.667,74.0,2,30.244926119929573
24,41,569.0,573.333,95.0,2,30.244926119929573
25,42,567.0,618.667,85.0,2,31.985677357217206
26,43,547.0,639.333,99.0,2,31.985677357217206
27,44,474.333,623.333,72.0,2,38.66186177617416
28,45,531.0,540.667,108.0,2,44.58699361921591
29,52,544.0,804.0,97.0,3,31.016124838541643
30,53,572.0,821.0,85.0,3,34.88552708502482
31,54,612.0,821.0,95.0,3,32.29938079901842
32,55,638.0,802.5,100.0,3,32.29938079901842
33,56,650.0,769.5,95.0,3,33.03407331831786
34,57,637.0,735.5,80.0,3,39.370039370059054
35,58,561.0,817.0,125.0,3,35.24202037341219
36,59,532.0,781.0,114.0,3,31.016124838541643
37,60,536.5,747.5,119.0,3,34.16869912653978
38,61,647.0,747.0,119.0,3,33.03407331831786
39,62,612.5,706.0,95.0,3,33.09833832687073
40,63,583.0,705.5,110.0,3,33.09833832687073
41,74,754.0,604.5,125.0,4,36.70830968595531
42,75,721.0,640.0,122.0,4,42.50294107470682
43,76,651.0,628.0,121.0,4,32.8861673048107
44,77,638.5,600.5,108.0,4,32.8861673048107
45,78,644.5,562.0,99.0,4,38.91015291668744
46,79,672.0,531.5,110.0,4,29.837057495671385
47,80,737.5,542.5,118.0,4,22.00568108466539
48,81,753.5,571.0,110.0,4,33.64892271678248
49,82,639.0,578.0,142.0,4,32.34578797927173
50,83,651.5,549.0,135.0,4,32.34578797927173
51,84,682.5,640.5,140.0,4,38.85228436012483
52,85,737.0,542.5,140.0,4,22.00568108466539
53,86,700.0,529.0,100.0,4,29.837057495671385
54,98,826.0,649.5,70.0,5,31.32890039564108
55,99,825.5,605.5,70.0,5,36.837480912787726
56,100,837.5,583.5,97.0,5,36.837480912787726
57,101,876.0,564.0,104.0,5,43.72070447739835
58,102,825.0,647.5,104.0,5,34.07345007480164
59,103,838.5,674.0,85.0,5,31.32890039564108
60,104,948.5,638.0,64.0,5,28.129166358070407
61,105,865.5,689.0,95.0,5,32.46536616149585
62,106,900.0,690.5,99.0,5,33.335416601566564
63,107,925.5,680.5,80.0,5,33.335416601566564
64,108,951.0,622.0,87.0,5,28.129166358070407
65,109,939.0,591.0,78.0,5,34.43835071544513
66,110,935.0,665.5,110.0,5,34.860436027106715
67,111,924.0,580.5,110.0,5,36.86800781165155
68,124,795.5,522.0,49.0,6,33.900589965367864
69,125,770.5,502.5,61.0,6,31.614869919074472
70,126,762.0,476.0,76.0,6,31.614869919074472
71,127,831.5,524.5,42.0,6,28.744564703609623
72,128,855.0,509.5,49.0,6,28.744564703609623
73,129,869.0,436.5,55.0,6,35.106979363083916
74,130,871.5,471.0,49.0,6,35.106979363083916
75,131,768.5,438.5,74.0,6,38.11167800031901
76,138,509.0,448.5,93.0,7,31.052375110448473
77,139,497.0,418.5,100.0,7,33.06055050963308
78,140,501.0,387.0,85.0,7,29.244657631779518
79,141,536.5,460.5,85.0,7,31.052375110448473
80,142,569.0,456.5,97.0,7,25.90849281606323
81,143,588.0,442.0,87.0,7,25.90849281606323
82,144,594.5,405.5,81.0,7,36.020827308655754
83,145,574.0,378.0,70.0,7,36.020827308655754
84,146,514.0,376.5,61.0,7,29.244657631779518
85,147,505.0,441.0,63.0,7,31.180923655337732
86,148,565.0,457.0,66.0,7,31.26099806468117
87,158,325.0,671.0,142.0,8,30.504098085339287
88,159,321.5,652.5,118.0,8,30.504098085339287
89,160,326.0,610.5,125.0,8,31.200961523645393
90,161,367.5,587.5,110.0,8,44.637428241331286
91,162,387.0,584.0,150.0,8,33.01893396219812
92,163,412.0,599.5,135.0,8,32.25290684574028
93,164,424.5,627.5,125.0,8,32.25290684574028
94,165,316.5,632.0,148.0,8,32.8861673048107
95,166,397.0,682.0,142.0,8,63.36797298320344
96,167,332.5,601.0,154.0,8,31.200961523645393
97,176,344.0,426.0,110.0,9,25.729360660537214
98,177,357.5,510.5,108.0,9,29.71952220342716
99,178,384.5,520.0,100.0,9,29.71952220342716
100,179,443.5,475.5,97.0,9,57.93315113128233
101,180,426.0,420.5,102.0,9,41.015241069631664
102,181,387.5,406.5,100.0,9,41.015241069631664
103,182,345.0,432.0,85.0,9,25.729360660537214
104,183,335.0,480.0,125.0,9,41.539138171127235
105,190,460.5,928.5,127.0,10,30.331501776206203
106,191,432.5,938.5,121.0,10,30.331501776206203
107,192,402.5,929.5,142.0,10,37.70941526992961
108,193,379.0,889.0,155.0,10,31.874754901018456
109,194,373.0,875.0,127.0,10,30.7001628660175
110,195,381.5,845.5,127.0,10,29.529646120466804
111,196,403.5,827.5,119.0,10,26.575364531836627
112,197,419.0,822.5,140.0,10,26.575364531836627
113,198,469.0,838.0,118.0,10,26.74415824063266
114,199,479.5,849.0,140.0,10,26.74415824063266
115,200,484.0,867.5,116.0,10,30.63494736408078
116,201,483.5,898.0,131.0,10,33.99264626356707
117,212,150.5,660.0,81.0,11,39.4017766096911
118,213,111.0,749.5,102.0,11,36.871398129173244
119,214,146.5,746.5,74.0,11,36.22499137335991
120,215,165.0,725.5,97.0,11,33.354160160315836
121,216,172.5,693.0,97.0,11,33.354160160315836
122,217,113.0,649.5,87.0,11,39.4017766096911
123,218,80.5,671.5,99.0,11,30.777426793024787
124,219,79.5,731.0,97.0,11,36.871398129173244
125,220,74.5,685.0,72.0,11,30.777426793024787
126,228,886.0,804.5,108.0,12,40.85645603818324
127,229,853.5,786.5,125.0,12,38.80077318817242
128,230,822.0,795.0,104.0,12,30.773365106858236
129,231,807.0,814.0,123.0,12,30.773365106858236
130,232,804.0,860.0,110.0,12,28.359301824974462
131,233,829.0,884.5,102.0,12,35.90612761075747
132,234,801.0,837.5,93.0,12,28.359301824974462
133,235,894.0,857.0,123.0,12,55.1837838499681
